timestamp,station_id,station_name,latitude,longitude,elevation_m,T_clean,P_clean,RH_clean,T_obs,P_obs,RH_obs,T_dew,dew_point_spread,rh_supersat_excess,phys_violation_flag,phys_bounds_flag,phys_cospike_flag,temp_step_zscore,pres_step_zscore,rh_step_zscore,is_frozen_flag,temporal_anomaly_score,T_idw,P_idw,RH_idw,T_spatial_resid,P_spatial_resid,RH_spatial_resid,spatial_divergence_score,predicted_class,predicted_fault,fault_confidence,is_fault,fault_class,affected_channel,event_context,severity,T_imputed,P_imputed,RH_imputed,qc_flag
2023-05-28 09:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,36.0,1001.6,32.74,36.0,1001.6,32.74,17.09813844027003,18.90186155972997,0.0,0.0,0.0,0.0,-1.014182231627817,-0.9874228596446075,1.3616271059968679,0.0,0.06411061822857567,34.90367266558668,1008.0644467926429,50.3042166187131,1.096327334413317,-6.464446792642889,-17.564216618713097,1.147864053693415,0,NONE,0.98867350936735,0,NONE,NONE,NORMAL,0.0,36.0,1001.6,32.74,FLAG_ORIGINAL_VALID
2023-05-28 10:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,35.67,1001.07,32.38,35.67,1001.07,32.38,16.637227080612107,19.032772919387895,0.0,0.0,0.0,0.0,-2.140143206613866,0.6363240132234718,2.0559282978410773,0.0,0.27177440178867496,34.12475216248602,1007.2584826813044,51.89510573503516,1.5452478375139833,-6.188482681304322,-19.515105735035156,1.3189976516455597,0,NONE,0.9897281394714316,0,NONE,NONE,NORMAL,0.0,35.67,1001.07,32.38,FLAG_ORIGINAL_VALID
2023-05-28 11:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,35.33,1000.53,32.01,35.33,1000.53,32.01,16.16176340418023,19.168236595819767,0.0,0.0,0.0,0.0,-1.3935998255409527,0.7588107517215056,1.3737632105894892,0.0,0.08515668439573454,33.3488832414361,1006.5737397235757,56.105044454487526,1.9811167585638998,-6.043739723575754,-24.095044454487528,1.410970132208686,0,NONE,0.9895292599671943,0,NONE,NONE,NORMAL,0.0,35.33,1000.53,32.01,FLAG_ORIGINAL_VALID
2023-05-28 12:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,35.0,1000.0,31.65,35.0,1000.0,31.65,15.698827812506012,19.30117218749399,0.0,0.0,0.0,0.0,-0.995984064385936,1.0163843751234065,0.988379891999642,0.0,0.06449096520008324,32.96386131019895,1006.2798437556597,57.50819033553356,2.0361386898010494,-6.279843755659726,-25.858190335533564,1.6280449124508285,0,NONE,0.9896532588203282,0,NONE,NONE,NORMAL,0.0,35.0,1000.0,31.65,FLAG_ORIGINAL_VALID
2023-05-28 13:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,33.07,1000.97,39.29,33.07,1000.97,39.29,17.402907506844254,15.667092493155746,0.0,0.0,0.0,0.0,-1.675076804636282,2.1477279991547955,1.961062989956905,0.0,0.24027650579985693,31.973631508652524,1006.5691285981796,61.68407751097925,1.0963684913474765,-5.599128598179618,-22.39407751097925,1.1685325701644222,0,NONE,0.9885877280271712,0,NONE,NONE,NORMAL,0.0,33.07,1000.97,39.29,FLAG_ORIGINAL_VALID
2023-05-28 14:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,31.13,1001.93,48.78,31.13,1001.93,48.78,19.098009740863926,12.031990259136073,0.0,0.0,0.0,0.0,-1.2072996502201316,1.3837601281493994,1.5296508812397627,0.0,0.11435213538701838,31.383361293250974,1006.8584555905202,62.70345739557367,-0.25336129325097545,-4.92845559052023,-13.92345739557367,0.6012461724514149,0,NONE,0.9879776416251438,0,NONE,NONE,NORMAL,0.0,31.13,1001.93,48.78,FLAG_ORIGINAL_VALID
2023-05-28 15:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,29.2,1002.9,60.56,29.2,1002.9,60.56,20.798701832369705,8.401298167630294,0.0,0.0,0.0,0.0,-0.9958160450141539,1.0044246040313278,1.389383155134181,0.0,0.07404091531267654,30.787030063568068,1007.5416390049037,63.79803093611329,-1.5870300635680685,-4.641639004903709,-3.23803093611329,0.7351559753974715,0,NONE,0.9902326120975413,0,NONE,NONE,NORMAL,0.0,29.2,1002.9,60.56,FLAG_ORIGINAL_VALID
2023-05-28 16:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,28.13,1003.93,65.5,28.13,1003.93,65.5,21.063002656967615,7.066997343032384,0.0,0.0,0.0,0.0,0.2593788136586084,0.7731139232566749,-0.1250638176348669,0.0,0.06851451421722532,30.431453412334207,1008.4608943242171,65.5547217172079,-2.301453412334208,-4.530894324217115,-0.054721717207897314,0.5484659507256778,0,NONE,0.9895201062094267,0,NONE,NONE,NORMAL,0.0,28.13,1003.93,65.5,FLAG_ORIGINAL_VALID
2023-05-28 17:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,27.07,1004.97,70.87,27.07,1004.97,70.87,21.335619301758012,5.7343806982419885,0.0,0.0,0.0,0.0,0.5206515191458098,0.5274262471696421,-0.2875268315996063,0.0,0.041724699802601295,30.081937775381704,1008.9893026537176,67.50706774311251,-3.0119377753817034,-4.019302653717546,3.3629322568874898,0.6452932949691597,0,NONE,0.9796749670189655,0,NONE,NONE,NORMAL,0.0,27.07,1004.97,70.87,FLAG_ORIGINAL_VALID
2023-05-28 18:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,26.0,1006.0,76.72,26.0,1006.0,76.72,21.599612412854256,4.400387587145744,0.0,0.0,0.0,0.0,0.9922489810999249,0.8911327344778663,-0.6773358851810731,0.0,0.029574591842213116,29.56880169540243,1009.3964898296084,68.94618805659904,-3.5688016954024313,-3.396489829608413,7.773811943400958,0.8799569467767462,0,NONE,0.9752316460310169,0,NONE,NONE,NORMAL,0.0,26.0,1006.0,76.72,FLAG_ORIGINAL_VALID
2023-05-28 19:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,25.6,1005.8,78.56,25.6,1005.8,78.56,21.599103637344193,4.0008963626558085,0.0,0.0,0.0,0.0,1.5594095661552585,-2.230810180055716,-1.4559872070270088,0.0,0.22392723108978907,29.572416432365042,1009.2458630900823,70.95131666363793,-3.9724164323650406,-3.445863090082298,7.608683336362077,0.9949759829990784,0,NONE,0.9673025184296071,0,NONE,NONE,NORMAL,0.0,25.6,1005.8,78.56,FLAG_ORIGINAL_VALID
2023-05-28 20:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,25.2,1005.6,80.46,25.2,1005.6,80.46,21.600662923606198,3.5993370763938017,0.0,0.0,0.0,0.0,1.1401996734483892,-1.4131146902652836,-1.0194435804849984,0.0,0.07803971410968535,29.027624750769494,1008.7801596428855,74.03285008087681,-3.8276247507694947,-3.180159642885428,6.427149919123181,0.8842781829498647,0,NONE,0.9814632777498322,0,NONE,NONE,NORMAL,0.0,25.2,1005.6,80.46,FLAG_ORIGINAL_VALID
2023-05-28 21:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,24.8,1005.4,82.4,24.8,1005.4,82.4,21.59988317011812,3.200116829881882,0.0,0.0,0.0,0.0,0.9999500037714396,-0.999985390935114,-0.9623172528620662,0.0,0.02280930131536485,28.8736800589867,1008.708312617732,75.44654988732182,-4.0736800589866995,-3.3083126177319855,6.953450112678183,1.0291488809572709,0,NONE,0.9817228064331532,0,NONE,NONE,NORMAL,0.0,24.8,1005.4,82.4,FLAG_ORIGINAL_VALID
2023-05-28 22:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,24.73,1005.2,84.43,24.73,1005.2,84.43,21.92945249054768,2.800547509452322,0.0,0.0,0.0,0.0,1.3380055493739857,-0.7070980885495958,-0.6456681852178714,0.0,0.08426538498462532,28.7408013928182,1008.4321612512437,76.16511299831535,-4.010801392818198,-3.2321612512436104,8.264887001684656,1.0403369984281945,0,NONE,0.9742783979775911,0,NONE,NONE,NORMAL,0.0,24.73,1005.2,84.43,FLAG_ORIGINAL_VALID
