"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42260099999","2025-01-11T15:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","000500,1,9,9","+0147,1","+0147,1","10193,1","12,0000,2,1","9,1,02,1","6,1,02,1",,,,"05,1,+00450,1,09,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00450,1,99,9,99,9",,,"9,9,999,9,+001,1","95,1","SYN06442260 21493 82303 10147 20147 40193 79596 85930 333 58001 6990/=",
"42260099999","2025-01-13T00:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","270,1,N,0021,1","00060,1,W,N","000200,1,9,9","+0121,1","+0121,1","10190,1",,"4,1,02,1","4,1,02,1",,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,+010,1","45,1","SYN05842260 31992 92704 10121 20121 40190 74544 80/// 333 58010=",
"42260099999","2025-02-08T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","250,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0230,1","+0132,1","10136,1",,,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-015,1",,"SYN05842260 32996 42503 10230 20132 40136 80001 333 10260 59015=","Q01    003SCCGA1"
"42260099999","2025-02-09T00:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0088,1","+0075,1","10149,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-008,1","10,1","SYN05242260 31995 00000 10088 20075 40149 71000 333 59008=",
"42260099999","2025-02-11T00:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0122,1","+0077,1","10133,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,+000,1","10,1","SYN05242260 31994 00000 10122 20077 40133 71000 333 58000=",
"42260099999","2025-02-11T03:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,9,9","+0169,1","+0132,1","10147,1",,"4,1,02,1","0,1,02,1",,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,N,+0117,1",,"9,9,999,9,-007,1","05,1","SYN07442260 31994 20000 10169 20132 40147 70540 80003 333 20117 59007 555 10020=","Q01    003SCCGA1"
"42260099999","2025-02-11T05:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","320,1,N,0021,1","99999,9,9,N","003500,1,9,9","+0260,1","+0160,1","99999,9",,,,,,,"02,1,+07620,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,07620,1,99,9,99,9",,"10150,1,99999,9",,"05,1","MET065METAR VIAG 110530Z 32004KT 3500 HZ FEW250 26/16 Q1015 BECMG 5000=",
"42260099999","2025-02-11T11:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","280,1,N,0015,1","99999,9,9,N","006000,1,9,9","+0290,1","+0180,1","99999,9",,,,,,,"02,1,+07620,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,07620,1,99,9,99,9",,"10110,1,99999,9",,,"MET057METAR VIAG 111130Z 28003KT 6000 FEW250 29/18 Q1011 NOSIG=",
"42260099999","2025-02-12T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","290,1,N,0046,1","99999,9,9,N","004000,1,9,9","+0244,1","+0117,1","10130,1",,,,,,,,,,,,"240,M,+0277,1",,"9,9,999,9,+022,1",,"SYN05242260 32996 02909 10244 20117 40130 333 10277 58022=",
"42260099999","2025-02-13T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","270,1,N,0031,1","99999,9,9,N","004000,1,9,9","+0237,1","+0113,1","10130,1",,,,,,,,,,,,,,"9,9,999,9,-001,1",,"SYN05242260 32996 02706 10237 20113 40130 333 10269 59001=",
"42260099999","2025-02-17T00:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0147,1","+0127,1","10138,1",,"2,1,02,1","2,1,02,1",,,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00800,1,99,9,99,9",,,"9,9,999,9,+020,1","10,1","SYN05842260 31595 60000 10147 20127 40138 71022 82531 333 58020=",
